SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,FLAG_EXT_SOURCE_1_NULO,FLAG_EXT_SOURCE_3_NULO,FLAG_OCCUPATION_NULO,DTI,RATIO_CREDITO_INGRESO,PLAZO_MESES,EDAD_AÑOS,ANTIGUEDAD_LABORAL_AÑOS,FLAG_PENSIONADO_DESEMPLEADO,EXT_SOURCE_PROMEDIO,EXT_SOURCE_MIN,DTI_X_EXT2,RIESGO_EDAD_SCORE,ORG_TYPE_GRUPO
333721,0,0,1,1,1,1,292500.0,1102500.0,32364.0,1102500.0,1,7,4,1,1,0.018209,-11763,-688,-500.0,-3325,9.0,1,1,0,1,1,0,4,3.0,3,3,4,9,0,0,0,0,0,0,,0.6161874548669084,0.6512602186973006,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0.1106461538461538,3.769230769230769,34.06562847608454,32,1.884931506849315,0,0.6337238367821045,0.6161874548669084,0.0424673819168799,0.2765758783482067,4
110157,0,1,0,0,1,0,270000.0,720000.0,36000.0,720000.0,6,3,2,1,1,0.04622,-23199,365243,-4264.0,-4151,,1,0,0,1,0,0,17,2.0,1,1,0,10,0,0,0,0,0,0,,0.7284994552901811,0.6380435278721609,0.0,0.0,0.0,0.0,-135.0,0,0.0,1.0,0.0,2.0,1,0,1,0.1333333333333333,2.6666666666666665,20.0,63,,1,0.6832714915811711,0.6380435278721609,0.0362000726279758,0.03878308266353,11
276815,0,1,0,1,1,1,135000.0,360000.0,18000.0,360000.0,6,7,1,5,1,0.010966,-19165,-3432,-4524.0,-2558,7.0,1,1,0,1,0,1,10,2.0,2,2,3,13,0,0,0,0,0,0,0.8055820780193036,0.6679525376558858,0.1082263226697141,0.0,0.0,0.0,0.0,-1585.0,0,0.0,0.0,0.0,0.0,0,0,0,0.1333333333333333,2.6666666666666665,20.0,52,9.402739726027397,0,0.5272536461149678,0.1082263226697141,0.0442729949792152,0.1640140411437867,5
353213,0,0,0,1,0,0,90000.0,225000.0,10426.5,225000.0,6,1,4,3,5,0.015221,-10416,-1154,-4766.0,-3037,7.0,1,1,0,1,1,0,14,1.0,2,2,5,18,0,0,0,0,1,1,0.5661456390005007,0.2950325916137825,0.1940678276718812,0.0,0.0,0.0,0.0,-349.0,1,0.0,1.0,0.0,6.0,0,0,0,0.11585,2.5,21.57962883038412,28,3.1616438356164385,0,0.3517486860953882,0.1940678276718812,0.0816704742615433,0.5424143646956956,2
447111,0,0,0,0,0,0,283500.0,1800000.0,51718.5,1800000.0,7,1,1,1,1,0.0035409999999999,-12125,-3256,-1913.0,-4286,,1,1,0,1,0,0,17,2.0,1,1,6,10,0,0,0,0,0,0,0.4512469845403997,0.6628942473385093,0.4418358231994413,0.0,0.0,0.0,0.0,-2.0,1,0.0,1.0,0.0,0.0,0,0,1,0.1824285714285714,6.349206349206349,34.80379361350387,33,8.92054794520548,0,0.51865901835945,0.4418358231994413,0.061497720878389,0.3536382722257101,7
427556,0,0,0,0,0,1,225000.0,508495.5,21541.5,454500.0,6,7,4,0,1,0.010276,-13305,-5896,-4402.0,-4081,,1,1,0,1,0,0,11,3.0,2,2,5,10,0,0,0,0,0,0,0.2070487011430605,0.6541119353915089,0.1884895337951677,4.0,0.0,3.0,0.0,-1712.0,1,0.0,0.0,1.0,5.0,0,0,0,0.09574,2.25998,23.60538959682473,36,16.153424657534245,0,0.3498833901099124,0.1884895337951677,0.0331153233056169,0.4378336352320999,9
109506,0,1,0,0,1,2,135000.0,270000.0,13500.0,270000.0,6,4,4,1,1,0.04622,-14261,-653,-1089.0,-3679,,1,1,1,1,0,0,17,4.0,1,1,2,12,0,0,0,0,1,1,,0.6013507015431271,0.5100895276257282,0.0,0.0,0.0,0.0,-201.0,0,0.0,0.0,0.0,0.0,1,0,1,0.1,2.0,20.0,39,1.789041095890411,0,0.5557201145844277,0.5100895276257282,0.0398649298456872,0.2720080931115748,9
192184,0,0,0,0,1,0,90000.0,281493.0,12055.5,243000.0,6,3,4,1,1,0.018029,-22733,365243,-4317.0,-4362,,1,0,0,1,0,0,17,2.0,3,3,5,10,0,0,0,0,0,0,,0.6199608742607933,0.3539876078507373,0.0,0.0,0.0,0.0,-1110.0,1,0.0,0.0,2.0,4.0,1,0,1,0.13395,3.1277,23.34975737215379,62,,1,0.4869742410557652,0.3539876078507373,0.0509062408927667,0.0732893941348907,11
277245,0,0,1,1,1,2,180000.0,1078200.0,34911.0,900000.0,1,7,2,1,1,0.030755,-9925,-3082,-4011.0,-2608,13.0,1,1,0,1,0,0,8,4.0,2,2,1,15,0,1,1,1,1,1,,0.2530821653221061,,1.0,0.0,1.0,0.0,0.0,1,,,,,1,1,0,0.19395,5.99,30.88424851765919,27,8.443835616438356,0,0.2530821653221061,0.2530821653221061,0.1448647140357775,0.6402152868667663,0
379974,0,0,0,0,0,0,67500.0,454500.0,21865.5,454500.0,6,7,4,1,1,0.008575,-10374,-1440,-1307.0,-1970,,1,1,0,1,0,0,8,2.0,2,2,0,20,0,0,0,0,1,1,,0.1962939107595888,,4.0,2.0,4.0,2.0,-792.0,1,,,,,1,1,0,0.3239333333333333,6.733333333333333,20.78616999382589,28,3.945205479452055,0,0.1962939107595888,0.1962939107595888,0.2603471925079438,0.6724887685480992,7
